CustomerID,Gender,SeniorCitizen,Partner,Dependents,Age,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,NumServices,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,1,Yes,Yes,62,52,No,No phone service,Fiber optic,No internet service,No internet service,No,One year,No,Bank transfer,3,39.15,2030.12,0
CUST-00002,Male,0,No,No,63,15,No,No phone service,DSL,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,2,58.62,860.17,0
CUST-00003,Male,1,No,No,25,61,No,No phone service,DSL,Yes,No internet service,Yes,Month-to-month,No,Credit card,6,68.49,4131.64,0
CUST-00004,Male,0,Yes,No,61,21,Yes,No,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,2,55.5,1178.94,0
CUST-00005,Female,1,Yes,Yes,72,24,Yes,No phone service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,1,52.07,1259.04,0
CUST-00006,Female,0,Yes,Yes,72,3,Yes,No,Fiber optic,Yes,No internet service,No,One year,No,Electronic check,2,116.39,368.59,0
CUST-00007,Male,0,No,Yes,39,22,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,4,84.16,1800.16,0
CUST-00008,Female,0,No,Yes,38,53,Yes,No phone service,No,No internet service,Yes,No,One year,No,Bank transfer,1,22.34,1103.96,0
CUST-00009,Male,0,No,Yes,43,2,Yes,No phone service,DSL,No,No internet service,No internet service,One year,No,Mailed check,2,63.02,157.32,0
CUST-00010,Male,0,No,No,57,30,Yes,No phone service,Fiber optic,No internet service,No,Yes,Month-to-month,No,Electronic check,2,107.5,3299.23,1
CUST-00011,Male,0,Yes,No,38,38,Yes,No phone service,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,4,50.15,1854.38,1
CUST-00012,Male,0,Yes,No,42,2,Yes,No,Fiber optic,No internet service,Yes,No internet service,Month-to-month,No,Credit card,5,29.46,138.39,0
CUST-00013,Female,0,No,No,58,64,No,Yes,DSL,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,2,95.84,6147.96,0
CUST-00014,Male,0,No,Yes,18,60,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card,3,80.6,4835.65,1
CUST-00015,Female,0,Yes,Yes,23,21,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,5,77.03,1597.75,0
CUST-00016,Female,0,Yes,Yes,40,33,Yes,No,Fiber optic,Yes,Yes,No internet service,Two year,Yes,Bank transfer,3,25.36,767.65,0
